,0
0,0.00016234362140976524
1,0.00013703933100354073
2,9.640536439863949e-05
3,8.62615317702422e-05
4,3.0242431333871658e-05
5,1.484200631860982e-05
6,1.8357192623868235e-05
7,4.15191657310907e-05
8,3.408104782116382e-05
9,9.243186207567095e-05
10,5.535417213508806e-05
11,6.824044547374892e-05
12,0.00011161235910838249
13,7.518172818481633e-05
14,3.9383228668192e-05
15,4.4675073058119716e-05
16,0.00012112158475180192
17,4.604368611285006e-05
18,0.0001270853383506237
19,0.0004393662792276365
20,0.00011896078528182309
21,3.746510311768925e-05
22,0.000540835058523957
23,8.272823719834277e-05
24,5.384602401926301e-05
25,1.2997170531636265e-05
26,9.665878340921392e-05
27,1.2591662756607279e-05
28,0.00014308237761194507
29,4.468407170028657e-05
30,0.00020511471285850752
31,3.472457267685424e-05
32,5.936552062857227e-05
33,0.0001105905861881941
34,7.408703141326471e-05
35,8.402728324787006e-05
36,0.00011521794156625517
37,4.933234285018318e-05
38,1.742262491376854e-05
39,2.0269767983115414e-05
40,1.0546301366974184e-05
41,5.144436736381881e-05
42,2.067165267195294e-05
43,0.00011698403741987912
44,5.3906371826977027e-05
45,0.00010439952704922193
46,0.00019719548697986756
47,0.000122807205789036
48,6.611052714035726e-05
49,8.325868612309797e-05
50,8.732818811824925e-05
51,0.00025875246368218244
52,1.863806165401262e-05
53,3.7875850988666354e-05
54,6.73144106816792e-05
55,4.730686447175652e-05
56,4.554999266548969e-05
57,0.00010689579187879645
58,7.461791792743067e-05
59,1.9280206654203097e-05
60,1.6358862128747456e-05
61,0.00013208688814576292
62,2.0527907851669415e-05
63,1.9302317560970127e-05
64,0.00012309542792557482
65,1.5202639022469842e-05
66,2.3090519278525244e-05
67,4.490808212231256e-05
68,0.00036971173361340375
69,5.680470691492159e-05
70,0.0007512566633045838
71,2.09848083487835e-05
72,0.00021594883384410448
73,2.4895182135906368e-05
74,3.259954237765267e-05
75,3.543980582346129e-05
76,0.00010099821453344567
77,3.5039298738649406e-05
78,5.5064897283744525e-05
79,0.00014096389283739527
80,8.875208305975503e-05
81,0.0004274173746445327
82,6.973248397762098e-05
83,0.0003615926887228097
84,6.960722239544428e-05
85,2.8833479445010104e-05
86,1.4796865282401662e-05
87,3.882875955419093e-05
88,0.0001035854804990067
89,3.690012151731543e-05
90,0.0002318068297009999
91,2.4993561197489903e-05
92,1.8688846843115605e-05
93,4.4152766013002275e-06
94,7.220955642232895e-05
95,8.759085261893247e-05
96,0.00019883812698680444
97,6.894216544916143e-05
98,0.00011693062343188863
99,5.15828268999312e-05
100,2.9399612707792787e-05
101,1.8967929242830293e-05
102,0.0002832437276443589
103,0.00010185288674556471
104,7.538880796837357e-05
105,0.0001123416273088794
106,1.7607091344744668e-05
107,3.414640521755014e-05
108,5.810759851357018e-05
109,4.9144970437144884e-05
110,8.193302372931456e-05
111,0.00010039062676443542
112,6.765489748914344e-05
113,3.776057930300447e-05
114,0.00010348539078734037
115,2.1157273069705558e-05
116,4.137402901056147e-05
117,5.746384144455894e-05
118,0.00018779785589902726
119,4.445939432849835e-05
120,7.923088439355765e-05
121,1.826180457665891e-05
122,0.0004040597778004377
123,0.00028597677347196867
124,5.274274638416905e-05
125,2.8508534218626457e-05
126,6.211550386660542e-05
127,1.0132876599504613e-05
128,2.22349511134186e-05
129,0.0002048929860593268
130,4.4357822310668664e-05
131,0.00013342130190441046
132,0.00010071382158051564
133,2.3792539440626102e-05
134,1.728649719148325e-05
135,5.933175792577539e-05
136,1.6002808323692144e-05
137,4.463127241911331e-05
138,0.0001783777708971591
139,4.5616353220785254e-05
140,9.691045486497997e-05
141,7.458529622855035e-05
142,2.8121772342792745e-05
143,1.644705320259234e-05
144,0.0001913776206984611
145,6.040582419921949e-05
146,6.484433057716e-05
147,5.8367768551310814e-05
148,3.463997796300002e-05
149,8.37284412179047e-05
150,4.533705634003918e-05
151,7.009281938817949e-05
152,8.95978865919062e-05
153,7.207333974306381e-05
154,3.1368896167508734e-05
155,0.00026044751116663687
156,0.0004168638181708932
157,1.366593807318796e-05
158,7.102992008046328e-05
159,0.0003900254589180076
160,0.00010386864325968188
161,8.95386455376723e-05
162,5.838218947436244e-05
163,4.5864371950672214e-05
164,5.2710308442422037e-05
165,4.2519152057385086e-05
166,0.00014667488887823186
167,2.9034725347914944e-05
168,1.7388674270721925e-05
169,5.1979564304390195e-05
170,0.0005448138867392906
171,0.00012323005745316665
